name,url
X resources,https://wiki.archlinux.org/index.php/X_resources
Color output in console,https://wiki.archlinux.org/index.php/Color_output_in_console
Xorg/Keyboard configuration,https://wiki.archlinux.org/index.php/Xorg/Keyboard_configuration
Bash/Prompt customization,https://wiki.archlinux.org/index.php/Bash/Prompt_customization
ANSI escape code,https://en.wikipedia.org/wiki/ANSI_escape_code
ANSI escape sequences,http://ascii-table.com/ansi-escape-sequences.php
HTML semantic elements,https://www.w3schools.com/html/html5_semantic_elements.asp
A Complete Guide to Grid,https://css-tricks.com/snippets/css/complete-guide-grid/
Backlight,https://wiki.archlinux.org/index.php/backlight
Ncurses Programming Guide,http://hughm.cs.ukzn.ac.za/~murrellh/os/notes/ncurses.html
